caldt,vwretd
20040806,-0.01540713
20040809,0.001226356
20040810,0.01291679
20040811,-0.002376748
20040812,-0.01158372
20040813,0.001657175
20040816,0.01359005
20040817,0.002235719
20040818,0.01267715
20040819,-0.003598821
20040820,0.006546487
20040823,-0.002428036
20040824,0.0005108698
20040825,0.008057774
20040826,0.0001009474
20040827,0.002603362
20040830,-0.007672471
20040831,0.004625682
20040901,0.001865933
20040902,0.01126703
20040903,-0.004148554
20040907,0.006901939
20040908,-0.004320005
20040909,0.001966946
20040910,0.004950909
20040913,0.001872482
20040914,0.00234336
20040915,-0.007049941
20040916,0.002814076
20040917,0.00451571
20040920,-0.005686218
20040921,0.006354059
20040922,-0.01382022
20040923,-0.004464032
20040924,0.001552378
20040927,-0.006009415
20040928,0.006141638
20040929,0.004332789
20040930,-0.00024887
20041001,0.01504179
20041004,0.003470143
20041005,-0.000641877
20041006,0.007031491
20041007,-0.009880814
20041008,-0.007465086
20041011,0.001982307
20041012,-0.002344036
20041013,-0.007279537
20041014,-0.00929269
20041015,0.004399653
20041018,0.005150722
20041019,-0.009665942
20041020,0.0005545068
20041021,0.002666103
20041022,-0.009729911
20041025,-0.000867798
20041026,0.01471811
20041027,0.01317718
20041028,0.001981718
20041029,0.002479214
20041101,0.0003822558
20041102,0.0001045787
20041103,0.01125123
20041104,0.01625123
20041105,0.004001515
20041108,-0.001075806
20041109,-0.000264885
20041110,-0.000859852
20041111,0.009060489
20041112,0.008973994
20041115,0.0000177415
20041116,-0.006982193
20041117,0.005629268
20041118,0.001302764
20041119,-0.0110327
20041122,0.00580406
20041123,-0.000213811
20041124,0.004206902
20041126,0.0008148635
20041129,-0.003261983
20041130,-0.003920984
20041201,0.01512281
20041202,-0.00089436
20041203,0.0007440382
20041206,-0.00069884
20041207,-0.01080812
20041208,0.00476088
20041209,0.005408494
20041210,-0.001076228
20041213,0.009072356
20041214,0.003944358
20041215,0.00206253
20041216,-0.002021196
20041217,-0.007143109
20041220,0.0000291202
20041221,0.009051846
20041222,0.00374582
20041223,0.0005303355
20041227,-0.004327025
20041228,0.007054074
20041229,0.0001768833
20041230,0.0001140947
20041231,-0.001331856
20050103,-0.008182541
20050104,-0.01143305
20050105,-0.003554119
20050106,0.003732335
20050107,-0.001434447
20050110,0.003391465
20050111,-0.006015802
20050112,0.004447776
20050113,-0.008636129
20050114,0.006056434
20050118,0.009759512
20050119,-0.009411501
20050120,-0.007726173
20050121,-0.006535533
20050124,-0.003464656
20050125,0.003904152
20050126,0.004918093
20050127,0.000606975
20050128,-0.002653645
20050131,0.008530072
20050201,0.006962539
20050202,0.003312296
20050203,-0.002412298
20050204,0.01111156
20050207,-0.001093835
20050208,0.000796688
20050209,-0.008405501
20050210,0.004295574
20050211,0.007176305
20050214,0.0008579962
20050215,0.003243829
20050216,0.000143242
20050217,-0.007786786
20050218,0.0007212407
20050222,-0.01443364
20050223,0.005702662
20050224,0.008175586
20050225,0.009482446
20050228,-0.006486273
20050301,0.005575159
20050302,0.0001684205
20050303,0.0003807244
20050304,0.009668397
20050307,0.002533299
20050308,-0.004759436
20050309,-0.009975579
20050310,0.001723836
20050311,-0.007114136
20050314,0.005530145
20050315,-0.007464652
20050316,-0.007989788
20050317,0.001737869
20050318,-0.000502482
20050321,-0.004878336
20050322,-0.01008073
20050323,0.0007193494
20050324,-0.000851509
20050328,0.002432982
20050329,-0.007430858
20050330,0.01387507
20050331,-0.000625479
20050401,-0.006550987
20050404,0.003058913
20050405,0.004415306
20050406,0.002460863
20050407,0.005960732
20050408,-0.008262135
20050411,-9.079486E-8
